"","parameter","long-lived","medium-lived","short-lived"
"1","A",0.791589851209403,6.33271880967523,6.33271880967523
"2","Amat",35.5710473025482,8.89276182563706,2.96425394187902
"3","B",0.0816496580927726,0.32659863237109,0.979795897113271
"4","Catch",0,0,0
"5","h",0.653471475878381,0.910640239696854,0.600986208978952
"6","K",0.0272165526975909,0.108866210790363,0.32659863237109
"7","L0",2.15443469003188,2.15443469003188,2.15443469003188
"8","lambda",1.03266854052507,1.291915516882,1.43535631435767
"9","Linf",45,90,30
"10","LMARR",-1,2,1
"11","Lmat",28.7274300857754,56.6366147156782,19.4243685424745
"12","M",0.05,0.2,0.6
"13","MLRR",7.54306131115529,40.7628774565904,6.02471616272783
"14","R_average",999998503.644546,999999723.103093,999998126.534699
"15","R0",1e+09,1e+09,1e+09
"16","Rinput",999988713.009573,999988713.009573,999988713.009573
"17","SB_0_hat",638543807.617815,0.00923607960618071,597.276317179549
"18","SB_average",638536600.37997,0.00923597535863861,597.269575727475
"19","Selex_A50_times_Amat",1,1,1
"20","Selex_Slope",10000,10000,10000
"21","SR_alpha",11.8129112226393,4413439380634.21,10086983.1758568
"22","SR_beta",1.02468479579579e-08,4305.16833462343,0.00841271622229303
"23","theta1",0.01,0.01,0.01
"24","theta2",3,3,3
"25","W_1",0.01,0.01,0.01
"26","W_2",3,3,3
"27","W_amat",237.077494651627,1816.73616004993,73.2893260907294
"28","W0",0.1,0.1,0.1
"29","Winf",911.25,7290,270
